species_name,sample 1,sample 2,pair_class,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,identical_block_fraction,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
snv_table,GCA_042852185.1,GCF_934858995.1,typical_fully_recombined,19397,1438378,247495,933202,7659,4885,0.0,106891,2686505,6210,37,4820,28
snv_table,GCA_977039805.1,GCF_015549455.1,typical_fully_recombined,19592,1398120,240716,906962,7740,4982,0.00390625,103821,2611041,6024,40,4930,12
snv_table,GCA_977039805.1,GCF_934836185.1,typical_fully_recombined,18328,1393465,239845,903914,7232,4683,0.0,103511,2602159,6072,39,4631,13
snv_table,GCF_015549455.1,GCF_934871375.1,typical_fully_recombined,18623,1432855,246585,929563,7370,4572,0.0,106488,2676030,6171,28,4521,23
snv_table,GCF_019132025.1,GCF_040930045.1,typical_fully_recombined,17437,1444241,248380,936953,6880,4412,0.018726591760299626,107361,2697204,6294,25,4361,26
snv_table,GCF_020555445.1,GCF_042848715.1,typical_fully_recombined,15967,1443094,248185,936190,6297,4121,0.014814814814814815,107297,2694886,6387,28,4075,18
snv_table,GCF_040092015.1,GCF_934883215.1,typical_fully_recombined,18886,1434251,246747,930584,7637,4645,0.007547169811320755,106659,2678859,6234,28,4592,25
snv_table,GCF_040092015.1,GCF_963594925.1,typical_fully_recombined,18026,1447215,248896,938887,7227,4460,0.011152416356877323,107574,2702775,6312,28,4407,25
snv_table,GCF_040930045.1,GCF_042848715.1,typical_fully_recombined,14428,1442167,248032,935580,5663,3689,0.011235955056179775,107197,2693273,6270,27,3644,18
snv_table,GCF_040930045.1,GCF_934842545.1,typical_fully_recombined,16649,1426453,245222,925464,6638,4118,0.01509433962264151,106043,2664115,6234,25,4071,22
snv_table,GCF_042848495.1,GCF_963594925.1,typical_fully_recombined,18294,1448135,249019,939457,7030,4824,0.007434944237918215,107669,2704330,6372,31,4767,26
snv_table,GCF_042848715.1,GCF_934842065.1,typical_fully_recombined,13218,1411303,242626,915751,5144,3428,0.023076923076923078,105033,2635980,6240,30,3380,18
snv_table,GCF_042848715.1,GCF_934871375.1,typical_fully_recombined,15557,1430670,246136,928132,6026,4014,0.0,106336,2671856,6204,34,3960,20
snv_table,GCF_042848715.1,GCF_934882315.1,typical_fully_recombined,15618,1431782,246301,928985,6069,4008,0.007633587786259542,106484,2674279,6192,34,3955,19
snv_table,GCF_905196785.1,GCF_963594925.1,typical_fully_recombined,15311,1404082,241385,911070,6002,3782,0.007751937984496124,104443,2622713,6054,27,3737,18
snv_table,GCF_934839055.1,GCF_934883215.1,typical_fully_recombined,18810,1434670,246785,930825,7368,4822,0.0,106710,2679501,6264,29,4770,23
snv_table,GCF_934841355.1,GCF_934855955.1,typical_fully_recombined,18997,1444054,248390,936842,7426,4885,0.0,107372,2696833,6321,29,4832,24
snv_table,GCF_934842545.1,GCF_934875975.1,typical_fully_recombined,18781,1422757,244613,923075,7360,4817,0.0,105799,2657234,6192,28,4766,23
snv_table,GCF_934864425.1,GCF_934882485.1,typical_fully_recombined,18547,1426902,245395,925705,7261,4748,0.0,106116,2664768,6231,29,4696,23
snv_table,GCF_934875975.1,GCF_934882485.1,typical_fully_recombined,18609,1429108,245746,927128,7284,4765,0.0,106304,2668825,6255,29,4713,23
