species_name,sample 1,sample 2,pair_class,event_count,dedup_event_count,clonal_divergence,clonal_fraction,stratum,plot_dS,core_dS_thin_denominator,core_dS_naive,core_dN_naive,synonymous_diffs,synonymous_sites,nonsynonymous_diffs,nonsynonymous_sites,dS_region,dN,dS_for_dNdS,dS_method,dNdS,plot_valid
snv_table,GCF_000154465.1,GCF_042848495.1,close_recombination,23,23,2.4896265560165977e-05,0.9615023624185736,full_core,0.002356427655673998,0.002092827273852839,0.0022246274647634186,0.00037140459716356934,557.0,250379.0,351.0,945061.0,0.0022246274647634186,0.00037140459716356934,0.002092827273852839,poisson_thinned_full_core_4D,0.1774654802160636,True
snv_table,GCF_000154465.1,GCF_042854075.1,close_recombination,10,10,3.6585365853658535e-05,0.9817890111468972,full_core,0.0009897710356277663,0.000965824962185159,0.0009777979989064626,0.00020087815471212574,245.0,250563.0,190.0,945847.0,0.0009777979989064626,0.00020087815471212574,0.000965824962185159,poisson_thinned_full_core_4D,0.207986087103861,True
snv_table,GCF_000154465.1,GCF_934836185.1,close_recombination,70,70,0.0001214953271028,0.8571898584858345,full_core,0.00531229813066488,0.005232051935337616,0.005272175033001248,0.0012753895517962268,1314.0,249233.0,1200.0,940889.0,0.005272175033001248,0.0012753895517962268,0.005232051935337616,poisson_thinned_full_core_4D,0.24376469644388726,True
snv_table,GCF_000154465.1,GCF_934839055.1,close_recombination,69,69,0.0001220657276995,0.8518432608400054,full_core,0.005207041904289611,0.005303024243539189,0.0052550330739144,0.0012713925032341047,1314.0,250046.0,1200.0,943847.0,0.0052550330739144,0.0012713925032341047,0.005303024243539189,poisson_thinned_full_core_4D,0.23974857455782422,True
snv_table,GCF_000154465.1,GCF_934841355.1,close_recombination,68,68,0.0001220657276995,0.8526454570591606,full_core,0.0052255941909345556,0.005281697196051952,0.005253645693493254,0.0012635754726197,1311.0,249541.0,1190.0,941772.0,0.005253645693493254,0.0012635754726197,0.005281697196051952,poisson_thinned_full_core_4D,0.23923663658041922,True
snv_table,GCF_000154465.1,GCF_934842065.1,close_recombination,63,63,0.0001153846153846,0.8497822753253569,full_core,0.00529755705534553,0.005133546001000467,0.005215551528172999,0.001244552368396189,1272.0,243886.0,1146.0,920813.0,0.005215551528172999,0.001244552368396189,0.005133546001000467,poisson_thinned_full_core_4D,0.2424352227784928,True
snv_table,GCF_000154465.1,GCF_934842235.1,close_recombination,70,70,0.0001308411214953,0.8581365741205577,full_core,0.005004156743362263,0.005510195065724739,0.005257175904543501,0.0012801508513588433,1309.0,248993.0,1203.0,939733.0,0.005257175904543501,0.0012801508513588433,0.005510195065724739,poisson_thinned_full_core_4D,0.23232405315772048,True
snv_table,GCF_000154465.1,GCF_934842545.1,close_recombination,66,66,0.0001179245283018,0.8559890036370714,full_core,0.005311664983963638,0.005125148503610716,0.005218406743787177,0.0012711868956091445,1287.0,246627.0,1184.0,931413.0,0.005218406743787177,0.0012711868956091445,0.005125148503610716,poisson_thinned_full_core_4D,0.24802928046154782,True
snv_table,GCF_000154465.1,GCF_934879485.1,close_recombination,70,70,0.0001302325581395,0.8576047894606255,full_core,0.005274489559071882,0.0052664857812887685,0.005270487670180325,0.0012807301009741183,1317.0,249882.0,1208.0,943212.0,0.005270487670180325,0.0012807301009741183,0.0052664857812887685,poisson_thinned_full_core_4D,0.2431849537170324,True
snv_table,GCF_000154465.1,GCF_934882485.1,close_recombination,69,69,0.0001448598130841,0.8625909212002809,full_core,0.005247394466824358,0.0052958319542104285,0.005271613210517393,0.0012679013559916358,1306.0,247742.0,1186.0,935404.0,0.005271613210517393,0.0012679013559916358,0.0052958319542104285,poisson_thinned_full_core_4D,0.23941495254274378,True
snv_table,GCF_000154465.1,GCF_934883255.1,close_recombination,63,63,0.0001153846153846,0.8495036193567956,full_core,0.005353204954788782,0.0051728519547805845,0.005263028454784683,0.0012712149601700454,1284.0,243966.0,1171.0,921166.0,0.005263028454784683,0.0012712149601700454,0.0051728519547805845,poisson_thinned_full_core_4D,0.24574740806089165,True
snv_table,GCF_042848495.1,GCF_042854075.1,close_recombination,22,22,5.4166666666666664e-05,0.9565450129430187,full_core,0.002292991595027324,0.0020852641334569047,0.0021891278642421144,0.00043075027808264267,548.0,250328.0,407.0,944863.0,0.0021891278642421144,0.00043075027808264267,0.0020852641334569047,poisson_thinned_full_core_4D,0.20656868891163174,True
snv_table,GCF_042848495.1,GCF_934839055.1,close_recombination,78,78,0.0001190476190476,0.8403381526490226,full_core,0.0063083401380149545,0.006108202443280977,0.006208271290647966,0.0014676766487767064,1551.0,249828.0,1384.0,942987.0,0.006208271290647966,0.0014676766487767064,0.006108202443280977,poisson_thinned_full_core_4D,0.24027963421401508,True
